spp,treatment,rep,surface,sd,si,sp
ANT,WD,10,aB,39.26352105530189,0.1286778326644026,32.2042039489065
ANT,WD,10,aD,36.73039066463725,0.12986301369863013,26.9120741323245
ANT,WD,6,aB,45.59634703196348,0.15804334554334554,32.421627595587765
ANT,WD,6,aD,40.530086250634206,0.14707876890975483,25.780961084780344
ANT,WD,8,aB,49.39604261796044,0.13155422197975392,27.59750058447217
ANT,WD,8,aD,50.66260781329276,0.15117344428560914,24.390342394423076
ANT,WD,9,aB,44.32978183663116,0.16928783987607518,31.398269962381246
ANT,WD,9,aD,41.796651445966525,0.17838885950995945,30.177254468555397
ANT,WW,1,aB,44.32978183663116,0.12697546740099933,27.612803128520117
ANT,WW,1,aD,32.93069507864029,0.15597701149425286,27.07976451084993
ANT,WW,2,aB,54.462303399289716,0.16126819708846585,23.369535185224546
ANT,WW,2,aD,53.1957382039574,0.15529798094231084,20.092877940957685
ANT,WW,3,aB,56.995433789954355,0.1555367496422064,25.983719793415656
ANT,WW,3,aD,51.92917300862508,0.18219485308092903,22.996535674055814
ANT,WW,4,aB,54.462303399289716,0.14429738562091504,30.584047097830013
ANT,WW,4,aD,53.1957382039574,0.18889689978370583,22.739580455250685
BAR,WD,6,aB,58.261998985286674,0.19322650393032514,27.103355932923847
BAR,WD,6,aD,59.52856418061899,0.20555311408969945,24.899151984017344
BAR,WD,7,aB,75.99391171993913,0.26078571763257163,23.980999341140468
BAR,WD,7,aD,67.1279553526129,0.23327052274420695,26.35608169858239
BAR,WD,8,aB,110.19117199391175,0.3380940474954948,20.60296274255595
BAR,WD,8,aD,107.65804160324711,0.32804584836048584,19.5005419651017
BAR,WD,9,aB,59.52856418061899,0.21717011128775834,25.072580816560755
BAR,WD,9,aD,70.92765093860986,0.24339257233994074,24.75377781556184
BAR,WW,1,aB,69.66108574327754,0.22941176470588234,27.909289919449108
BAR,WW,1,aD,63.32825976661595,0.21355953319428544,25.935261737263822
BAR,WW,2,aB,53.1957382039574,0.21563460061443931,30.21806125268326
BAR,WW,2,aD,55.728868594622035,0.21835154826958106,26.04748039361544
BAR,WW,3,aB,64.59482496194826,0.208102357973159,29.080572145119127
BAR,WW,3,aD,59.52856418061899,0.22804301473996477,29.56770313064547
BAR,WW,4,aB,50.66260781329276,0.18229985383745623,31.38551784234129
BAR,WW,4,aD,50.66260781329276,0.19949440231130372,25.87086353106204
BIF,WD,6,aB,41.796651445966525,0.12750601443464313,28.64189921574462
BIF,WD,6,aD,48.12947742262812,0.14734430786268524,28.013219697774755
BIF,WD,7,aB,53.1957382039574,0.16550962587547954,29.341990605938236
BIF,WD,7,aD,60.79512937595131,0.18017300037423875,30.075875114237743
BIF,WD,8,aB,60.79512937595131,0.15958731115800756,29.368770058022147
BIF,WD,8,aD,69.66108574327754,0.20226429895877904,24.684278761344075
BIF,WD,9,aB,31.664129883307975,0.09187013596403734,34.416696775838986
BIF,WD,9,aD,35.46382546930493,0.11518869818327812,33.40800408067842
BIF,WW,1,aB,63.32825976661594,0.16114663606055638,23.19100550466515
BIF,WW,1,aD,59.52856418061899,0.1486458156269477,18.56836199018087
BIF,WW,2,aB,53.1957382039574,0.13557168222158167,23.84455165671293
BIF,WW,2,aD,58.261998985286674,0.1528258604067392,20.23060083738922
BIF,WW,3,aB,51.29589041095892,0.13552724768837301,28.415549085035387
BIF,WW,3,aD,58.261998985286674,0.14444736509049136,23.162313234575247
COM,WD,6,aB,48.12947742262812,0.17421359715880264,26.84767592612272
COM,WD,6,aD,58.261998985286674,0.2028886598725142,23.31151303904274
COM,WD,7,aB,63.32825976661594,0.2000514403292181,28.316082548723728
COM,WD,7,aD,68.39452054794522,0.19861340812223133,25.955665129327752
COM,WD,8,aB,54.462303399289716,0.1798763995429633,29.540923678561562
COM,WD,8,aD,53.1957382039574,0.18358515834012087,28.085269176000512
COM,WD,9,aB,56.995433789954355,0.17588961510530138,27.996004335720816
COM,WD,9,aD,62.061694571283624,0.2087913613146791,26.743108541795074
COM,WW,1,aB,50.66260781329276,0.17679662802950474,27.2053728932435
COM,WW,1,aD,53.1957382039574,0.1824620673304884,27.98006418567087
COM,WW,2,aB,51.92917300862508,0.1632412000944956,27.3239676096151
COM,WW,2,aD,56.995433789954355,0.18496732026143792,21.00337931181059
COM,WW,3,aB,67.1279553526129,0.23042560103963614,27.387090603812887
COM,WW,3,aD,50.66260781329276,0.22036628433535743,23.93317889099063
COM,WW,4,aB,59.52856418061899,0.19712517668900162,32.48283777177956
COM,WW,4,aD,58.261998985286674,0.21529570070368165,26.01560009351555
EJU,WD,6,aB,29.130999492643333,0.07315535124941065,26.132919597883152
EJU,WD,6,aD,45.59634703196348,0.11224801398994692,19.133918513952946
EJU,WD,7,aB,29.130999492643337,0.08311074187362846,27.404305965866826
EJU,WD,7,aD,58.261998985286674,0.14259576901086335,25.018862510892436
EJU,WD,8,aB,45.59634703196348,0.09133588227864758,23.972072857112494
EJU,WD,8,aD,44.32978183663116,0.11170450115311811,22.9703938279739
EJU,WD,9,aB,36.73039066463725,0.06816942249173555,20.56406877643408
EJU,WD,9,aD,51.92917300862508,0.10063334335036228,22.477524388429575
EJU,WW,1,aB,44.32978183663116,0.11581699346405229,20.5290004463242
EJU,WW,1,aD,48.12947742262812,0.12151621654951289,17.694841767443837
EJU,WW,2,aB,44.32978183663116,0.090114191740208,28.274638158593866
EJU,WW,2,aD,63.32825976661595,0.1401509918167771,26.292958704384606
EJU,WW,3,aB,41.796651445966525,0.08996678351517061,22.657329280992965
EJU,WW,3,aD,41.796651445966525,0.10568097361575622,21.604004165692547
EJU,WW,4,aB,44.32978183663116,0.08274195739505638,24.331682642239272
EJU,WW,4,aD,51.92917300862508,0.12499201879732853,25.102548298654654
GIB,WD,7,aB,70.92765093860986,0.15394465721516717,32.16148434677265
GIB,WD,7,aD,40.530086250634206,0.10760794216676568,26.376485090646323
GIB,WD,8,aB,53.1957382039574,0.11669904309662565,27.63511933859004
GIB,WD,8,aD,48.12947742262812,0.1229230427545676,24.66196255127415
GIB,WD,9,aB,65.86139015728058,0.16771488469601678,30.568744553782068
GIB,WD,9,aD,41.796651445966525,0.12515972681207313,30.34494484708083
GIB,WW,1,aB,70.92765093860986,0.16751210726068055,33.448173258804275
GIB,WW,1,aD,53.1957382039574,0.15207930367504835,31.293064972051603
GIB,WW,2,aB,78.52704211060377,0.17814391117551612,32.719389598520756
GIB,WW,2,aD,63.32825976661595,0.16526610644257703,26.056406877643408
GIB,WW,3,aB,75.99391171993913,0.17834072881489044,31.89815306794755
GIB,WW,3,aD,39.26352105530189,0.11257492893338276,28.5590104354849
GIB,WW,4,aB,67.1279553526129,0.17325440882141913,32.88580476504219
GIB,WW,4,aD,43.063216641298844,0.11883051092777536,28.055301693906614
GRO,WD,6,aB,55.728868594622035,0.12296285470710022,31.32685809015749
GRO,WD,6,aD,55.728868594622035,0.12274178488599741,23.325540371086696
GRO,WD,7,aB,46.8629122272958,0.12791005291005292,36.56606660857368
GRO,WD,7,aD,46.8629122272958,0.12922954762429317,23.713204820301375
GRO,WD,8,aB,48.12947742262812,0.11494012971251438,24.412658604492997
GRO,WD,8,aD,49.39604261796044,0.10073916716358577,28.496525047289115
GRO,WD,9,aB,67.1279553526129,0.11677781177887991,31.058425963316402
GRO,WD,9,aD,58.261998985286674,0.14330218068535824,25.882340439098
GRO,WW,1,aB,68.39452054794522,0.15885214511204263,29.60277146075535
GRO,WW,1,aD,63.32825976661594,0.17592607893359774,27.783681537055536
GRO,WW,2,aB,56.995433789954355,0.11984977487570152,28.305243246689763
GRO,WW,2,aD,60.795129375951305,0.16370507802121892,25.099360268644663
GRO,WW,3,aB,59.52856418061899,0.1524717352243066,32.87687828101422
GRO,WW,3,aD,59.52856418061899,0.17312411210125275,28.601730037618754
GRO,WW,4,aB,50.66260781329276,0.14974161482505513,33.92063930628467
GRO,WW,4,aD,57.94535768645359,0.1643761207203998,22.869014473656247
LEO,WD,6,aB,37.99695585996957,0.10991400682845283,32.989096937365844
LEO,WD,6,aD,41.796651445966525,0.12820580672069598,21.105396272130243
LEO,WD,7,aB,49.39604261796044,0.12839617949236054,32.57975388408323
LEO,WD,7,aD,55.728868594622035,0.1758358662613982,30.71475632823957
LEO,WD,8,aB,44.32978183663116,0.11396722658858581,33.32001445240272
LEO,WD,8,aD,48.12947742262812,0.13225589225589227,29.01234830290536
LEO,WD,9,aB,51.92917300862508,0.11750278706800446,28.19111177233215
LEO,WD,9,aD,59.52856418061899,0.17976667939903232,26.097851267773265
LEO,WW,1,aB,59.52856418061899,0.15541241390755955,24.830290535801577
LEO,WW,1,aD,63.32825976661594,0.18179646440516004,19.571953837325456
LEO,WW,2,aB,56.99543378995435,0.13829522889155915,26.04684278761344
LEO,WW,2,aD,51.92917300862508,0.1505736975937269,18.89162823319377
LEO,WW,3,aB,48.12947742262812,0.12423933524850955,21.134088542220145
LEO,WW,3,aD,48.12947742262812,0.14508456659619448,29.61169794478332
LEO,WW,4,aB,50.66260781329276,0.14974161482505513,21.7347133961021
LEO,WW,4,aD,57.94535768645359,0.1643761207203998,18.32097086140571
MAG,WD,10,aB,56.995433789954355,0.1208724487413012,NA
MAG,WD,10,aD,63.32825976661594,0.14542282430213466,NA
MAG,WD,7,aB,47.49619482496196,0.12842105263157894,24.43880045057491
MAG,WD,7,aD,41.796651445966525,0.09482758620689655,20.898174321480948
MAG,WD,8,aB,49.39604261796044,0.1358694215837073,27.29973858153918
MAG,WD,8,aD,43.063216641298844,0.12467307249915945,21.472019723278994
MAG,WD,9,aB,35.46382546930493,0.10994438051400075,31.078191749378338
MAG,WD,9,aD,37.99695585996957,0.1118998498308843,24.572697710994454
MAG,WW,1,aB,58.261998985286674,0.10754142300194933,25.216679773012263
MAG,WW,1,aD,55.728868594622035,0.13251433251433253,21.050562155958428
MAG,WW,2,aB,43.063216641298844,0.10468471625923655,30.31752778899492
MAG,WW,2,aD,56.995433789954355,0.13872499526724302,21.084992880066313
MAG,WW,3,aB,62.06169457128363,0.11096925151539427,25.18862510892436
MAG,WW,3,aD,84.85986808726537,0.19886363636363638,21.704745914008203
MAG,WW,4,aB,43.063216641298844,0.0898695017719408,25.60306901022295
MAG,WW,4,aD,50.66260781329276,0.11907082521117608,26.213895560136873
RET,WD,6,aB,40.530086250634206,0.10140805087151536,28.5889779175788
RET,WD,6,aD,34.19726027397261,0.09885784424448402,25.96204118934773
RET,WD,7,aB,56.995433789954355,0.11562544807787936,22.295169071858197
RET,WD,7,aD,51.92917300862508,0.10650149571982456,24.795222205691697
RET,WD,8,aB,30.397564687975656,0.07493062493062493,29.40575120613802
RET,WD,8,aD,40.530086250634206,0.12063492063492062,28.584514675564815
RET,WD,9,aB,40.530086250634206,0.10062893081761007,26.14375889991711
RET,WD,9,aD,31.664129883307975,0.09015059015059015,20.06546088287178
RET,WW,3,aB,41.796651445966525,0.10717197770197187,32.84117234490234
RET,WW,3,aD,41.796651445966525,0.11214784550334932,29.61169794478332
RET,WW,4,aB,44.32978183663116,0.10173967070518794,31.57679964294064
RET,WW,4,aD,51.92917300862508,0.12581369248035915,26.818983656032817
RET,WW,5,aB,45.59634703196348,0.1025805356557569,25.65535270238677
RET,WW,5,aD,54.462303399289716,0.12531896382363672,19.27674225840046
BAR,WW,5,aB,NA,NA,25.93653694926782
BAR,WW,5,aD,NA,NA,24.373764638371128
GIB,WD,6,aB,NA,NA,26.065970967673376
GIB,WD,6,aD,NA,NA,25.367154789483752
